date,start,end,title,domain,activity,campus,groups,venue,staff
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Middle Working Problem 45,PBL,Tutorial,CCS,A,GO93.08.55,Roving Tutor
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Middle Working Problem 45,PBL,Tutorial,CCS,B,GO93.08.51,Roving Tutor
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,CCS,C,GO93.08.56,Heather Allard
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,CCS,D,GO93.08.60,Peter Bae
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,Callaghan,E,GP328,Juan Morales Franco
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,Callaghan,F,GP327,Karma Tenzin
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Structured Clinical Skills: Women's History Taking 1,Clinical Skills,Tutorial,Callaghan,I,GP326,Khanrin Vashum
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,G,GP324,Roving Tutor
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,H,GP321,Roving Tutor
2025-07-28,2025-07-28T10:30,2025-07-28T12:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,J,GP325,Roving Tutor
2025-07-28,2025-07-28T13:30,2025-07-28T15:00,Clinical Decision Making:  Consent in Minors,Prof Dev,Seminar,Both,ALL,Zoom 2025,Dr Indu Gunarathne
2025-07-29,2025-07-29T08:30,2025-07-29T10:00,Structured Clinical Skills: Women's History Taking 1,Clin Skills,Practical,Callaghan,K,GP328,Juan Morales Franco
2025-07-29,2025-07-29T08:30,2025-07-29T10:00,Structured Clinical Skills: Women's History Taking 1,Clin Skills,Practical,Callaghan,L,GP327,Vicki Howell
2025-07-29,2025-07-29T08:30,2025-07-29T10:00,Structured Clinical Skills: Women's History Taking 1,Clin Skills,Practical,Callaghan,P,GP326,Raphael Yeo
2025-07-29,2025-07-29T08:30,2025-07-29T10:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,M,GP324,Roving Tutor
2025-07-29,2025-07-29T08:30,2025-07-29T10:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,N,GP325,Roving Tutor
2025-07-29,2025-07-29T08:30,2025-07-29T10:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,O,GP321,Roving Tutor
2025-07-29,2025-07-29T10:30,2025-07-29T12:00,Structured Clinical Skills: Women's History Taking 1,Clin Skills,Practical,Callaghan,M,GP327,Vicki Howell
2025-07-29,2025-07-29T10:30,2025-07-29T12:00,Structured Clinical Skills: Women's History Taking 1,Clin Skills,Practical,Callaghan,N,GP328,Juan Morales Franco
2025-07-29,2025-07-29T10:30,2025-07-29T12:00,Structured Clinical Skills: Women's History Taking 1,Clin Skills,Practical,Callaghan,O,GP326,Raphael Yeo
2025-07-29,2025-07-29T10:30,2025-07-29T12:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,K,GP325,Roving Tutor
2025-07-29,2025-07-29T10:30,2025-07-29T12:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,L,GP324,Roving Tutor
2025-07-29,2025-07-29T10:30,2025-07-29T12:00,Middle Working Problem 45,PBL,Tutorial,Callaghan,P,GP321,Roving Tutor
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,CCS,A,GO93.08.55,Tegan Stettaford
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,CCS,B,GO93.08.51,Heather Allard
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,Callaghan,E,GP326,Erin Gardiner
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,Callaghan,G,GP328,Tooba Azami
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,Callaghan,I,GP325,Travis Swadling
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,Callaghan,K,GP327,Richard Thorpe
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,Callaghan,M,GP321,Juan Morales Franco
2025-07-30,2025-07-30T08:30,2025-07-30T10:30,Close Working Problem 45,PBL,Tutorial,Callaghan,N,GP324,Lauren Harms
2025-07-30,2025-07-30T10:30,2025-07-30T12:30,Close Working Problem 45,PBL,Tutorial,CCS,C,GO93.08.55,Ethan Creswell
2025-07-30,2025-07-30T10:30,2025-07-30T12:30,Close Working Problem 45,PBL,Tutorial,CCS,D,GO93.08.51,Natalie Govind
2025-07-30,2025-07-30T10:30,2025-07-30T12:30,Close Working Problem 45,PBL,Tutorial,Callaghan,F,GP328,Esther Robinson
2025-07-30,2025-07-30T11:00,2025-07-30T13:00,Close Working Problem 45,PBL,Tutorial,Callaghan,H,GP327,Roger Liang
2025-07-30,2025-07-30T11:00,2025-07-30T13:00,Close Working Problem 45,PBL,Tutorial,Callaghan,J,GP325,Abhijit Chowdhury
2025-07-30,2025-07-30T11:00,2025-07-30T13:00,Close Working Problem 45,PBL,Tutorial,Callaghan,L,GP326,Jeff Regnis
2025-07-30,2025-07-30T11:00,2025-07-30T13:00,Close Working Problem 45,PBL,Tutorial,Callaghan,O,GP321,Neil Spratt
2025-07-30,2025-07-30T11:00,2025-07-30T13:00,Close Working Problem 45,PBL,Tutorial,Callaghan,P,GP324,Lauren Harms
2025-07-31,2025-07-31T09:00,2025-07-31T10:30,Medical Sciences - Male Pelvis and Reproductive Systems,Anatomy,Lab,CCS,A;B,GO93.11.37,Dr Ethan Cresswell
2025-07-31,2025-07-31T10:30,2025-07-31T12:00,Medical Sciences - Male Pelvis and Reproductive Systems,Anatomy,Lab,CCS,C;D,GO93.11.37,Dr Ethan Cresswell
2025-07-31,2025-07-31T09:00,2025-07-31T10:30,Medical Sciences - Male Pelvis and Reproductive Systems,Anatomy,Lab,Callaghan,E;G;I;K;M;N,MSW320,A Prof Doug Smith
2025-07-31,2025-07-31T10:30,2025-07-31T12:00,Medical Sciences - Male Pelvis and Reproductive Systems,Anatomy,Lab,Callaghan,F;J;H;L;O;P,MSW320,A Prof Doug Smith
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,CCS,A,GO93.08.55,Tegan Stettaford
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,CCS,B,GO93.08.51,Heather Allard
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,Callaghan,E,GP326,Erin Gardiner
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,Callaghan,G,GP328,Tooba Azami
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,Callaghan,I,GP325,Travis Swadling
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,Callaghan,K,GP327,Richard Thorpe
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,Callaghan,M,GP321,Juan Morales Franco
2025-07-31,2025-07-31T13:00,2025-07-31T15:00,Open Working Problem 46,PBL,Tutorial,Callaghan,N,GP324,Lauren Harms
2025-07-31,2025-07-31T15:00,2025-07-31T17:00,Open Working Problem 46,PBL,Tutorial,CCS,C,GO93.08.55,Ethan Creswell
2025-07-31,2025-07-31T15:00,2025-07-31T17:00,Open Working Problem 46,PBL,Tutorial,CCS,D,GO93.08.51,Natalie Govind
2025-07-31,2025-07-31T15:00,2025-07-31T17:00,Open Working Problem 46,PBL,Tutorial,Callaghan,J,GP325,Abhijit Chowdhury
2025-07-31,2025-07-31T15:00,2025-07-31T17:00,Open Working Problem 46,PBL,Tutorial,Callaghan,F,GP328,Esther Robinson
2025-07-31,2025-07-31T15:30,2025-07-31T17:30,Open Working Problem 46,PBL,Tutorial,Callaghan,H,GP327,Roger Liang
2025-07-31,2025-07-31T15:30,2025-07-31T17:30,Open Working Problem 46,PBL,Tutorial,Callaghan,L,GP326,Jeff Regnis
2025-07-31,2025-07-31T15:30,2025-07-31T17:30,Open Working Problem 46,PBL,Tutorial,Callaghan,O,GP321,Neil Spratt
2025-07-31,2025-07-31T15:30,2025-07-31T17:30,Open Working Problem 46,PBL,Tutorial,Callaghan,P,GP324,Lauren Harms
2025-08-01,2025-08-01T08:00,2025-08-01T09:00,"Male Reproductive Function - Physiology of Erection, Ejaculation and the Sexual Act",Physiology,Lecture,Both,ALL,Zoom 2025,Prof Neil Spratt
2025-08-01,2025-08-01T09:00,2025-08-01T10:00,Microbiology of STIs,Microbiology,Lecture,Both,ALL,Zoom 2025,Prof Nathan Bartlett
2025-08-01,2025-08-01T11:00,2025-08-01T12:00,Gonadal Pathology,Pathology,Lecture,Both,ALL,Zoom 2025,Dr Mehr Gupta
2025-08-01,2025-08-01T12:00,2025-08-01T13:00,Pharmacology of Antimicrobials,Pharmacology,Lecture,Both,ALL,Zoom 2025,A Prof Paul Tooney
2025-08-01,2025-08-01T14:00,2025-08-01T15:00,Public Health of STI's,HSE,Seminar,Both,ALL,Zoom 2025,A Prof Marita Lynagh
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,CCS,A,GO93.08.56,Heather Allard
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,CCS,B,GO93.08.60,Peter Bae
2025-08-04,2025-08-04T09:00,2025-08-04T10:30,Middle Working Problem 46,PBL,Tutorial,CCS,C,GO93.08.55,Roving Tutor
2025-08-04,2025-08-04T09:00,2025-08-04T10:30,Middle Working Problem 46,PBL,Tutorial,CCS,D,GO93.08.51,Roving Tutor
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,Callaghan,G,GP327,Karma Tenzin
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Practical,Callaghan,H,GP326,Htoo Myat
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,Callaghan,J,GP328,Juan Morales Franco
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,E,GP325,Roving Tutor
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,F,GP324,Roving Tutor
2025-08-04,2025-08-04T08:30,2025-08-04T10:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,I,GP321,Roving Tutor
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Middle Working Problem 46,PBL,Tutorial,CCS,A,GO93.08.55,Roving Tutor
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Middle Working Problem 46,PBL,Tutorial,CCS,B,GO93.08.51,Roving Tutor
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,CCS,C,GO93.08.56,Heather Allard
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,CCS,D,GO93.08.60,Peter Bae
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,Callaghan,E,GP328,Juan Morales Franco
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,Callaghan,F,GP327,Karma Tenzin
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Structured Clinical Skills: Men's History Taking,Clinical Skills,Tutorial,Callaghan,I,GP326,Htoo Myat
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,G,GP324,Roving Tutor
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,H,GP321,Roving Tutor
2025-08-04,2025-08-04T10:30,2025-08-04T12:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,J,GP325,Roving Tutor
2025-08-04,2025-08-04T12:30,2025-08-04T14:00,Sexuality and Identity,Interactional Skills,Tutorial,Callaghan,G,SR202,A Prof Marita Lynagh
2025-08-04,2025-08-04T12:30,2025-08-04T14:00,Sexuality and Identity,Interactional Skills,Tutorial,Callaghan,K,V107,Dr Jo Taylor
2025-08-04,2025-08-04T14:00,2025-08-04T15:30,Sexuality and Identity,Interactional Skills,Tutorial,Callaghan,J,SR202,A Prof Marita Lynagh
2025-08-04,2025-08-04T14:00,2025-08-04T15:30,Sexuality and Identity,Interactional Skills,Tutorial,Callaghan,I,V107,Dr Jo Taylor
2025-08-05,2025-08-05T08:30,2025-08-05T10:00,Structured Clinical Skills: Men's History Taking,Clin Skills,Practical,Callaghan,K,GP328,Juan Morales Franco
2025-08-05,2025-08-05T08:30,2025-08-05T10:00,Structured Clinical Skills: Men's History Taking,Clin Skills,Practical,Callaghan,L,GP327,Vicki Howell
2025-08-05,2025-08-05T08:30,2025-08-05T10:00,Structured Clinical Skills: Men's History Taking,Clin Skills,Practical,Callaghan,P,GP326,Khanrin Vashum
2025-08-05,2025-08-05T08:30,2025-08-05T10:00,Middle Working Problem 46,PBL,Tutorial,Callaghan,M,GP324,Roving Tutor
